policy,scheduled_jobs,skipped_jobs,total_actual_energy_kwh,total_actual_emissions_kg,total_predicted_emissions_kg,avg_wait_h,median_wait_h,p95_wait_h,avg_slowdown,max_nodes_used,max_processors_used,week_index,week_start,input_jobs,fcfs_emissions_kg,fcfs_avg_wait_h,emissions_delta_vs_fcfs_kg,emissions_reduction_vs_fcfs_pct,avg_wait_delta_vs_fcfs_h
random,3153.0,0.0,43711.59474499403,8914.785366406824,5274.784448976721,11.622119057687563,11.556666666666667,22.58266666666666,16.94678599035678,593.0,593.0,3,2020-05-25T00:00:00+00:00,3153.0,8462.87359874447,0.0,451.91176766235367,-5.339932853651484,11.622119057687563
carbon_aware,3153.0,0.0,43711.594744994036,7794.235031089049,4440.44770908665,10.741183969411846,11.505555555555556,18.557666666666655,16.68883820066526,3645.0,3645.0,3,2020-05-25T00:00:00+00:00,3153.0,8462.87359874447,0.0,-668.6385676554219,7.900845497144365,10.741183969411846
fcfs,2819.0,0.0,63007.71974506197,22401.385509079533,16104.304819103942,0.0,0.0,0.0,1.0,3200.0,3200.0,4,2020-06-01T00:00:00+00:00,2819.0,22401.385509079533,0.0,0.0,0.0,0.0
random,2819.0,0.0,63007.71974506197,22253.925241052984,15983.282910622278,11.74483672303023,11.662222222222223,22.733583333333332,13.19849534819761,1133.0,1133.0,4,2020-06-01T00:00:00+00:00,2819.0,22401.385509079533,0.0,-147.46026802654887,0.6582640523140034,11.74483672303023
carbon_aware,2819.0,0.0,63007.71974506198,21469.194784087016,15391.787751977332,10.396846695045525,10.418055555555556,20.06008333333333,12.428002402697171,12903.0,12903.0,4,2020-06-01T00:00:00+00:00,2819.0,22401.385509079533,0.0,-932.1907249925171,4.161308346819395,10.396846695045525
fcfs,3672.0,0.0,21321.187060873563,7607.6892155351925,4747.753323376091,0.0,0.0,0.0,1.0,1802.0,1802.0,5,2020-06-08T00:00:00+00:00,3672.0,7607.6892155351925,0.0,0.0,0.0,0.0
random,3672.0,0.0,21321.187060873566,7613.183020699263,4724.029677242021,11.980321729000243,11.873194444444444,22.826763888888888,18.116457744427148,647.0,647.0,5,2020-06-08T00:00:00+00:00,3672.0,7607.6892155351925,0.0,5.4938051640701815,-0.07221384849490987,11.980321729000243
carbon_aware,3672.0,0.0,21321.187060873563,7255.875656412212,4449.585623260034,11.635742026748972,12.572083333333333,20.545624999999948,19.067776329112736,6921.0,6921.0,5,2020-06-08T00:00:00+00:00,3672.0,7607.6892155351925,0.0,-351.8135591229802,4.624447045031276,11.635742026748972
fcfs,15996.0,0.0,44382.85561039048,15572.067513991547,9781.27974323832,0.0,0.0,0.0,1.0,5551.0,5551.0,6,2020-06-15T00:00:00+00:00,15996.0,15572.067513991547,0.0,0.0,0.0,0.0
random,15996.0,0.0,44382.85561039046,15664.462048021927,9792.227670182565,11.742497933511155,11.686111111111112,22.761736111111112,22.485015725433737,773.0,773.0,6,2020-06-15T00:00:00+00:00,15996.0,15572.067513991547,0.0,92.39453403037987,-0.5933350465335648,11.742497933511155
