job_id,policy,submit_time,scheduled_start,scheduled_end,req_nodes,duration_h,wait_h,actual_energy_kwh,pred_energy_kwh,actual_emissions_kg,predicted_emissions_kg,avg_carbon_gco2_kwh,week_index,week_start
5734873,fcfs,2020-05-06 09:47:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.113884343434344,1.7653217074829377,0.41282797990986625,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
6002533,fcfs,2020-05-06 09:47:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.0462060942760942,1.7653217074829377,0.39961085430381504,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
3356739,fcfs,2020-05-06 09:48:53+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,1,0.5,0.0,0.0054527777777777,0.0144628595753571,0.0010648923352354134,0.0028245032046145067,195.2935510365534,0,2020-05-04T00:00:00+00:00
4575509,fcfs,2020-05-06 09:49:09+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,2,0.5,0.0,0.1879052787524366,0.0583497439765928,0.03669668914607677,0.01139532870326255,195.2935510365534,0,2020-05-04T00:00:00+00:00
646773,fcfs,2020-05-06 09:50:07+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,1,0.5,0.0,0.1752089186507936,0.1371799470225364,0.03421717189658809,0.026790358985037406,195.2935510365534,0,2020-05-04T00:00:00+00:00
1024728,fcfs,2020-05-06 09:52:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.483304797979798,1.7653217074829377,0.48497341230358565,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
4538520,fcfs,2020-05-06 09:52:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.274018229166667,1.7653217074829377,0.4441010950958132,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
1703485,fcfs,2020-05-06 09:52:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,1.8298731111111108,1.7653217074829377,0.35736241781519446,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
3904134,fcfs,2020-05-06 09:54:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,1,0.5,0.0,0.1694248148148148,0.2319354711101383,0.03308757371889564,0.045295501764434844,195.2935510365534,0,2020-05-04T00:00:00+00:00
4199791,fcfs,2020-05-06 09:57:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.0746052525252523,1.7653217074829377,0.40515702676474213,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
4309527,fcfs,2020-05-06 09:57:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.006614478114478,1.7653217074829377,0.39187886699233676,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
1350224,fcfs,2020-05-06 09:57:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,1.9671666666666667,1.7653217074829377,0.3841749638140733,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
4755361,fcfs,2020-05-06 10:00:43+00:00,2020-05-06 10:00:00+00:00,2020-05-06 10:30:00+00:00,1,0.5,0.0,0.0074861111111111,0.313306995384581,0.0015453408734320624,0.0646752497677159,206.42772335270624,0,2020-05-04T00:00:00+00:00
